"date2","NEUIL","RUR.SE"
2017-07-29,63,68
2017-07-30,75,74
2017-07-31,73,82
2017-08-01,90,96
2017-08-02,85,99
2017-08-03,79,91
2017-08-04,73,81
2017-08-05,80,83
2017-08-06,96,92
2017-08-07,112,108
2017-08-08,70,87
2017-08-09,59,67
2017-08-10,78,81
2017-08-11,84,93
2017-08-12,48,60
2017-08-13,88,78
2017-08-14,87,81
2017-08-15,83,71
2017-08-16,87,83
2017-08-17,49,46
2017-08-18,61,71
2017-08-19,67,75
2017-08-20,73,80
2017-08-21,43,74
2017-08-31,66,78
2018-05-01,77,87
2018-05-02,88,100
2018-05-03,104,121
2018-05-04,113,129
2018-05-05,126,131
2018-05-06,125,130
2018-05-07,123,136
2018-05-08,150,168
2018-05-09,99,106
2018-05-10,99,108
2018-05-11,105,107
2018-05-12,77,86
2018-05-13,78,89
2018-05-14,100,96
2018-05-15,108,94
2018-05-16,109,128
2018-05-17,91,99
2018-05-18,82,104
2018-05-19,104,113
2018-05-20,55,55
2018-05-24,120,120
2018-05-25,114,118
2018-05-26,104,98
2018-05-27,132,104
2018-05-28,102,93
2018-05-29,65,77
2018-05-30,70,64
2018-05-31,34,44
2018-06-18,63,75
2018-06-19,55,81
2018-06-20,104,94
2018-06-21,81,92
2018-06-22,86,93
2018-06-23,98,84
2018-06-24,115,113
2018-06-25,89,87
2018-06-26,122,117
2018-06-27,122,112
2018-06-28,113,121
2018-06-29,141,122
2018-06-30,140,130
2018-07-01,92,62
2018-07-02,165,99
2018-07-03,106,104
2018-07-04,105,114
2018-07-05,123,86
2018-07-06,144,136
2018-07-07,171,147
2018-07-08,168,156
2018-07-09,95,112
2018-07-10,82,99
2018-07-11,89,99
2018-07-12,109,117
2018-07-13,132,128
2018-07-14,163,142
2018-07-15,158,146
2018-07-16,152,179
2018-07-17,95,90
2018-07-18,115,103
2018-07-19,153,133
2018-07-20,114,119
2018-07-21,111,100
2018-07-22,162,156
2018-07-23,210,145
2018-07-24,129,155
2018-07-25,199,180
2018-07-26,213,176
2018-07-27,200,152
2018-08-02,143,134
2018-08-03,190,188
2018-08-06,143,134
2018-08-07,162,158
2018-08-08,79,94
2018-08-09,60,64
2018-08-10,70,76
2018-08-11,91,84
2018-08-12,76,83
2018-08-13,56,62
2018-08-14,45,52
2018-08-17,74,109
2018-08-18,74,87
2018-08-19,66,75
2018-08-20,45,43
2018-08-21,33,11
2018-08-23,54,81
2018-08-24,60,78
2018-08-25,55,58
2018-08-27,77,91
2018-08-28,117,121
2018-08-29,65,93
2018-08-30,60,86
2018-08-31,86,106
2019-05-01,105,126
2019-05-02,77,81
2019-05-14,98,115
2019-05-15,99,110
2019-05-16,100,105
2019-05-17,86,108
2019-05-18,85,102
2019-05-19,73,93
2019-05-20,89,97
